1
77.0 0.0
Zn_s1    7.579    5.337    5.337
O_s1    6.458    6.458    6.458
O_s1    7.282    5.634    3.461
C_s1    6.458    6.458    2.875
C_s1    6.458    6.458    1.390
C_s1    7.308    5.608    0.695
H_s1    7.876    5.040    1.157
Zn_s1   20.495    7.579    5.337
O_s1   19.374    6.458    6.458
O_s1   20.198    7.282    3.461
C_s1   19.374    6.458    2.875
C_s1   19.374    6.458    1.390
C_s1   20.224    7.308    0.695
H_s1   20.792    7.876    1.157
Zn_s1   18.253   20.495    5.337
O_s1   19.374   19.374    6.458
O_s1   18.550   20.198    3.461
C_s1   19.374   19.374    2.875
C_s1   19.374   19.374    1.390
C_s1   18.524   20.224    0.695
H_s1   17.956   20.792    1.157
Zn_s1    5.337   18.253    5.337
O_s1    6.458   19.374    6.458
O_s1    5.634   18.550    3.461
C_s1    6.458   19.374    2.875
C_s1    6.458   19.374    1.390
C_s1    5.608   18.524    0.695
H_s1    5.040   17.956    1.157
Zn_s1    7.579   20.495   20.495
O_s1    6.458   19.374   19.374
O_s1    7.282   20.198   22.371
C_s1    6.458   19.374   22.957
C_s1    6.458   19.374   24.442
C_s1    7.308   20.224   25.137
H_s1    7.876   20.792   24.675
Zn_s1    5.337    7.579   20.495
O_s1    6.458    6.458   19.374
O_s1    5.634    7.282   22.371
C_s1    6.458    6.458   22.957
C_s1    6.458    6.458   24.442
C_s1    5.608    7.308   25.137
H_s1    5.040    7.876   24.675
Zn_s1   18.253    5.337   20.495
O_s1   19.374    6.458   19.374
O_s1   18.550    5.634   22.371
C_s1   19.374    6.458   22.957
C_s1   19.374    6.458   24.442
C_s1   18.524    5.608   25.137
H_s1   17.956    5.040   24.675
Zn_s1   20.495   18.253   20.495
O_s1   19.374   19.374   19.374
O_s1   20.198   18.550   22.371
C_s1   19.374   19.374   22.957
C_s1   19.374   19.374   24.442
C_s1   20.224   18.524   25.137
H_s1   20.792   17.956   24.675
Zn_s1    5.337    7.579    5.337
O_s1    3.461    7.282    5.634
